ན་སིད་དྷི་,ན་སིད་དྷི་
ཙནྡྲ་སཱུཪྱ་,ཙནྡྲ་སཱུརྱ་
པར་ཤེས་པསྨོན་,པར་ཤེས་བ་སྨོན་
འགོང་ཞིང༌།,འགོང་ཞིང་།
ཨཱརྻ་,ཨཱརྱ་
ཏུ་འགྱུར་།,ཏུ་འགྱུར།
ཀ་ཊ་བྷཻ་,ཀ་ཊ་བྷཻ་
གཉེན་གྱིི་,གཉེན་གྱི་
ཡི་གེ་གྷ་,ཡི་གེ་གྷ་
མ་ཏེེ་,མ་ཏཻ་
ག །དྷརྨ་,ག །དྷརྨ་
ཛཱཿ་ཡིག་,ཛཱཿཡིག་
ཚ་ཛ་ཛྷ་,ཚ་ཛ་ཛྷ་
ག་བྷི་,ག་བྷི་
་དྱཱ་,དྱཱ་
བཻ་དཱུཪྱ།,བཻ་དཱུརྱ།
ག་ངྷཱིའི་,ག་ངྷཱའི་
བབས་,འཁྲུལ་པ་
བྱེད་ཅིང༌ལག་,བྱེད་ཅིང་ལག་
སྔགས་དང༌།,སྔགས་དང་།
པའི་ཙཱུརྞྞ་,པའི་ཙཱུརྞྞ་
འཚལ་བ་གྱི་,འཚལ་བགྱི་
ག་,ྨ་
ནི་ཛམ་བྷ་,ནི་ཛམ་བྷ་
ཉིད་རྣམ་རཔ,ཉིད་རྣམ་པ
དབང་ཏུ་,དབང་དུ་
ག་ཏིལ་བྷི།,ག་ཏིལ་བྷི།
རཀྟ་བཞུག །,རཀྟ་བཞག །
རི་ཤུད་དྷི།,རི་ཤུད་དྷི།
བཞིན་དུ་།དེ་,བཞིན་དུ་དེ་
སུ་དཱུར་,སུ་དཱུར་
།་བག་,།བག་
ཅ་དང༌།,ཅ་དང་།
ར་ཎི་དྷཱ་,ར་ཎི་དྷཱ་
ཀ དྷརྨྨ་,ཀ དྷརྨྨ་
ན་པར་གྱ,ན་པར་བྱ
ཧི་ཧཱུྃ་,ཧི་ཧཱུྃ་
མ་མ་་མཆིས་,མ་མ་མཆིས་
ཤཻཀྵ་,ཤཻཀྵ་
ཙྱཻ་ཧཱུཾ་,ཙྱཻ་ཧཱུཾ་
སྡུད་དང༌།,སྡུད་དང་།
ཏི་གམ་བྷཱི་,ཏི་གམ་བྷཱི་
ྤྱོད་,་
་དང་,ང་
པ་དང༌མི་,པ་དང་མི་
ས་ཆེན་བོར་,ས་ཆེན་པོར་
ནས་སྔཪ་,ནས་སྔར་
ཛཱ་ཧཱུྃ་,ཛཱ་ཧཱུྃ་
ཏྭཱ་ཎཱ་བྷཉྩ་,ཏྭཱ་ཎཱ་བྷཉྩ་
ཀུམྦྷའཎྜེ་,ཀུམྦྷཱཎྜེ་
ྈྐླཱ,ྍྐླཱ
ལགས་དང༌།,ལགས་དང་།
ི་ཀེ་བྷྱཿ,ི་ཀེ་བྷྱཿ
སྟེང་དང༌ཕྱོགས་,སྟེང་དང་ཕྱོགས་
སྒྲ་ཧཱུྃ་,སྒྲ་ཧཱུྃ་
ཅིང་བཤད་,ཅིང་བཤང་
ན་མཿསིངྔྷྃ།,ན་མཿསིདྡྷྃ།
བྷཾ་,བྷཾ་
ན་བུདྡྷ་,ན་བུདྡྷ་
་ཨ་དྷིཥྛཱ་,་ཨ་དྷིཥྛཱ་
མཱ་ཡཱུ་,མཱ་ཡཱུ་
ཤིང་པླཀྵ་,ཤིང་པླཀྵ་
བྷིན,བྷིན
ཧཱ་རཱཀྵ་,ཧཱ་རཱཀྵ་
པ་བེེཌཱུརྱ་,པ་བཻཌཱུརྱ་
འགྱུར་ཞིང༌དད་,འགྱུར་ཞིང་དད་
དངང་ཞིང༌།,དངང་ཞིང་།
ཀ་ཛྱཻཥྛ་བྷ་,ཀ་ཛྱཻཥྛ་བྷ་
མཚམས་ན་།,མཚམས་ན།
བས་བཅོམ་་ལྡན་,བས་བཅོམ་ལྡན་
ེར་,་
ཅིག་དང༌དེ་,ཅིག་དང་དེ་
མཚར་རྨད་གྱི་,མཚར་རྨད་ཀྱི་
མུཉྪ།,མུཉྩ།
ཥ་ཚིམ་བྷོ།,ཥ་ཚིམ་བྷོ།
མཁན་་གྱི་,མཁན་གྱི་
པ་བཻདཱུརྱའི་,པ་བཻདཱུརྱའི་
ཀྱིས་སྦྲིང་,ཀྱིས་སྤྲིང་
རྒྱས་ཀྱིི་,རྒྱས་ཀྱི་
ཀ་རེ་གྷུཊྚ་,ཀ་རེ་གྷུཊྚ་
ཤིང་,རང་
ཧཱུྃ་ཕཊ།ཨོྃ ཨོྃ་,ཧཱུྃ་ཕཊ། ཨོྃ་
མིང་སྤིལ་,མིང་སྤེལ་
ལྷོ་དང༌།,ལྷོ་དང་།
ནི་ཁམགས་,ནི་ཁམས་
བསྡོམས་པའི་,བསྡོམས་པས་
མཆོག་ནི་བྷ་,མཆོག་ནི་བྷ་
བུད་མེད་བྷ་,བུད་མེད་བྷ་
ཉ་དང༌།,ཉ་དང་།
་བཛྲ་དྷཱ་,་བཛྲ་དྷཱ་
བརྗིད་དང༌།,བརྗིད་དང་།
ངོ,དོ
མ་ལ་པྱག་,མ་ལ་ཕྱག་
རྟེན་ཡི་ཪངས་,རྟེན་ཡི་རངས་
ཧཱ་མནྟྲ་བྷ་,ཧཱ་མནྟྲ་བྷ་
ཕར་,ཕལ་
མངོན་པར་ཏཤེས་,མངོན་པར་ཤེས་
ཟས་དང༌།,ཟས་དང་།
མ་མ་དྷུ་,མ་མ་དྷུ་
ལཱ་ཛི་བྷ་,ལཱ་ཛི་བྷ་
ལག་དང༌དགའ་,ལག་དང་དགའ་
བསལ་ནས་།,བསལ་ནས།
སོལ་བ་དྷ་,སོལ་བ་དྷ་
ཏ་ཨ་དྷིཥྛཱ་,ཏ་ཨ་དྷིཥྛཱ་
ངྷྲིྃ,ངྷྲི
གནང་ངོ༌།,གནང་ངོ་།
།།༄༅༅།,༄༅༅།
ཎྱཻ་ཧཱུྃ།,ཎྱཻ་ཧཱུྃ།
མ་ནྱེེ་,མ་ནྱཻ་
ཏུ་ཧཱུྃ།,ཏུ་ཧཱུྃ།
ྡྷོ་,ྡྷོ་
དཔྲལ་བརཟིག་,དཔྲལ་བར་ཐིག་
མེ་ད་ཀྵེ་,མེ་ད་ཀྵེ་
བྱ་གྷྲ་,བྱ་གྷྲ་
སུ་བརྡོད་,སུ་བརྔོད་
ལ་མིན་དྷ་,ལ་མིན་དྷ་
ཨ་བྷྲ་,ཨ་བྷྲ་
ཛ༔ཧཱུྃ་,ཛཿཧཱུྃ་
ཾ་ཛ་བྷཾ་,ཾ་ཛ་བྷཾ་
རངྒ་།,རངྒ།
གིས་བེེ་,གིས་བཻ་
སྔིན་,སྔོན་
ཀྱི་ཆོས,པས
ལྡིང་དང༌།,ལྡིང་དང་།
ཨརྒྷ་སྤྱིན་,ཨརྒྷ་སྦྱིན་
།་ཕྱི་,།ཕྱི་
བ་སཾ་བྷ་,བ་སཾ་བྷ་
ཤྱ་ཧོ༔།,ཤྱ་ཧོཿ།
རྒྱ་ཆེར་དགྲ,རྒྱ་ཆེར་འགྲ
་རྫོགས་,རྫོགས་
གན་ཁཾ་དྷརྨྨ་,གན་ཁཾ་དྷརྨྨ་
བཛྲ་སཱ་དྷུ།,བཛྲ་སཱ་དྷུ།
བཛྲ་བེེ་,བཛྲ་བཻ་
བ་ཤུདྡྷོ྅ཧཾ།,བ་ཤུདྡྷོ྅ཧཾ།
འདི་སྙམ་ཏུ་,འདི་སྙམ་དུ་
བྷིཊྚི་,བྷིཊྚི་
ལོངས་སྤྱོད་་་ནི་,ལོངས་སྤྱོད་ནི་
བཅུ་གཉིས་འཁའ་,བཅུ་གཉིས་མཁའ་
ཁམས་གངྒཱའི་་,ཁམས་གངྒཱའི་
་བུདྡྷ་,་བུདྡྷ་
གྱིས་གྱུར་བའི་,གྱིས་གྱུར་པའི་
ལླི་ཧོཿཛཿ་ཧཱུྃ,ལླི་ཧོཿཛཿཧཱུྃ
བྷྲིངྒ་,བྷྲིངྒ་
ཏུ་བྱུང་ཁྱེའུ་,ཏུ་བྱུང་བ་
་ྉྤཾ།) ས་,་ྉྤཾ། ས་
ཧཱུྃ་ཕཊཿཨོྃ ཨོྃ་,ཧཱུྃ་ཕཊཿ ཨོྃ་
ར་གན་དྷེ།,ར་གན་དྷེ།
ཆོས་དང༌ཚུལ་,ཆོས་དང་ཚུལ་
མ་ཧཱ་བྷཉྫ་,མ་ཧཱ་བྷཉྫ་
དྷ་མེེ་,དྷ་མཻ་
ཨ་བ་དྷཱུ་,ཨ་བ་དྷཱུ་
ཀྱང་རུང༌མྱ་,ཀྱང་རུང་མྱ་
བྷེ་,བྷེ་
ཨ་མོ་དྷེ།,ཨ་མོ་དྷེ།
མཱྃ་ཞཻས་,མཱྃ་ཞེས་
ལྟང་དང༌།,ལྟང་དང་།
ནི་མྱིངས་,ནི་མྱིང་
ཨཱཿ་ཧཱུྃ་,ཨཱཿཧཱུྃ་
དགྲ་བཅོམ་ པ་,དགྲ་བཅོམ་པ་
བཛྲི་བཻཾ་,བཛྲི་བཻྃ་
བར་བན་དྷ་,བར་བན་དྷ་
ཨརྠ་སཱ་དྷ་,ཨརྠ་སཱ་དྷ་
དི་སིདྡྷ་,དི་སིདྡྷ་
སྐར་པཱུ་,སྐར་པཱུ་
རབ་འབྱོར༌སྦྱིན་,རབ་འབྱོར་སྦྱིན་
འགྲུས་གྱི་,འགྲུས་ཀྱི་
བྲཤྤུ་,བྲཧྨ་
ལོ་ཀྱཱ་དྷི་,ལོ་ཀྱཱ་དྷི་
ོ་ཊ་ཀྵོ་,ོ་ཊ་ཀྵོ་
ཏྠྡྡྷྣཱ་ས་,ཏྠྡྡྷྣཱ་སྎྤ་
ེ་,་
བ་མེད་།,བ་མེད།
མཚམས་གྱི་,མཚམས་ཀྱི་
)ནཱཾ,ནཱཾ
ན་མཿ་སཔྟཱ་,ན་མཿསཔྟཱ་
ཡང་མེྱ,ཡང་མྱ
ཞེན་ཅིང༌།,ཞེན་ཅིང་།
སྐར་པཱུརྦཱ་,སྐར་པཱུརྦཱ་
འི་སྔོ,ོ
།འཇམ་,།དམ་
མོ་སྤྱོང་།,མོ་སྤྱོད།
བེ་བི་བྷ་,བེ་བི་བྷ་
དང་།,པའོ།
སུ་མཐོང༌།,སུ་མཐོང་།
གང་ཉིད་ཛལ་,གང་ཉིད་ལ་
ནས་རུ་དྷི་,ནས་རུ་དྷི་
དུ་གསུང༌།,དུ་གསུང་།
ཅིང་རྩོད་་པའི་,ཅིང་རྩོད་པའི་
ཱུྃ་,ུྃ་
རྱེ་སཱུརྱེ།,རྱེ་སཱུརྱེ།
མ་ཧཱུྃ།,མ་ཧཱུྃ།
མ་ཛྙཱ་ཀྵ་,མ་ཛྙཱ་ཀྵ་
སརྦ་སིདྡྷིིམྨེ་,སརྦ་སིདྡྷིམྨེ་
གཏོཪ་,གཏོར་
ནི་བོ་དྷ་,ནི་བོ་དྷ་
ཧྲཱིཿཏྲེེ་,ཧྲཱིཿཏྲཻ་
པ་དང༌དེས་,པ་དང་དེས་
ཎྜཱི་པེེཥྚ་,ཎྜཱི་པཻཥྚ་
པའི་དཱུར་,པའི་དཱུར་
།འཇམ་,།རྒྱལ་
གང་གིས་བྷ་,གང་གིས་བྷ་
མཚན་ལན་,སྦྱར། །ལན་
ན་ཨ་བྷི་,ན་ཨ་བྷི་
་ལྡན་,་ལོ། །གཞན་
།བྷད་,།བྷད་
སདྡྷ་,སདྡྷ་
ཡ་སཱུ་,ཡ་སཱུ་
བྱེད་ཀྱང༌།,བྱེད་ཀྱང་།
མེད་ཀྱང༌།,མེད་ཀྱང་།
ཤིང་དྲུང་་,ཤིང་དྲུང་
མུ་ཀཱཿཀཱ་དྷྱནྟི་,མུ་ཀཱཿཀཱ་དྷྱནྟི་
ཡི་དགས་,ཡི་དག་
ྒྲ་,་
སྲིན་དྷུན་,སྲིན་དྷུན་
ཏ་ཡན་།,ཏ་ཡན།
ས་བྷི་,ས་བྷི་
ཁྲིའུ་དང༌།,ཁྲིའུ་དང་།
རྩེ་ཞིང༌།,རྩེ་ཞིང་།
ཀའི་རྩལ་བྷི་,ཀའི་རྩལ་བྷི་
བི་ཤཱིརྻནྟུ་,བི་ཤཱིཪྻནྟུ་
རྃ་ཧཱུྃ་,རྃ་ཧཱུྃ་
ཤ་བན་དྷ་,ཤ་བན་དྷ་
ཀླུང་སྒེམས་,ཀླུང་སྐེམས་
ལྡན་འདས༌དཔེར་,ལྡན་འདས་དཔེར་
མཾ་རཀྵ་,མཾ་རཀྵ་
ནས་དོང༌།,ནས་དོང་།
བ་བཻཌཱུརྱཡི་,བ་བཻཌཱུརྱཡི་
ཨོ་ཛ་ཀྵ་,ཨོ་ཛ་ཀྵ་
མེ་ཀཱཪྱཾ་,མེ་ཀཱརྱཾ་
ཆེན་པོ་།,ཆེན་པོ།
མ་རཱུ་,མ་རཱུ་
་རེ་དྷ་,་རེ་དྷ་
ལས་ཐཪ་,ལས་ཐར་
དབྱིངས་དང༌།,དབྱིངས་དང་།
་རཾ་གྷ་,་རཾ་གྷ་
བུ་དཱྭ,བུ་དྭ
ཏི་ར་བྷ་,ཏི་ར་བྷ་
སིན་དྷུ་,སིན་དྷུ་
ཆེ་དང༌།,ཆེ་དང་།
རྒྱུད་སྦྲིངས་,རྒྱུད་སྤྲིངས་
བུད་དྷཱ་,བུད་དྷཱ་
ཉིད་མྱེུད་,ཉིད་མྱེད་
བ་ཤུད་་དྷོ྅ཧཾ།,བ་ཤུད་དྷོ྅ཧཾ།
མོད་ཅིང༌།,མོད་ཅིང་།
ཀཱ་རྻ་,ཀཱ་རྱ་
རྣམས་དང༌སྐྱེ་,རྣམས་དང་སྐྱེ་
ཡཀྵེ་,ཡཀྵེ་
འགྱུ,ཧཱུ
པོ་འཇིིག་,པོ་འཇིག་
བ་ཨཱ་ཏྨ་,བ་ཨཱཏྨ་
པོ,ལོ
བཅུ་དང༌སྤྱོད་,བཅུ་དང་སྤྱོད་
དུ་ཆུད་པ་དཔ་,དུ་ཆུད་པ་
ཀྱི་,ཡི་
ཀ་རི་དྷ་,ཀ་རི་དྷ་
ན་ཀྵ་,ན་ཀྵ་
ཏི་ཨོྃདྷི་,ཏི་ཨོྃདྷི་
ཐ་བྷ་,ཐ་བྷ་
ཏུ་ཡོ,དངོ
འཛིན་རྣམས་གྱི་,འཛིན་རྣམས་ཀྱི་
བཞིན་མི་,བཞིན་མ་
ཨུཏྟ་ར་བྷ་,ཨུཏྟ་ར་བྷ་
ཀཱརྻ་,ཀཱརྱ་
པ་ཞི་་མ་,པ་ཞི་མ་
་མེད་པས་,་མེད་ལ་
གངྒཱའི་ཀླླུང་,གངྒཱའི་ཀླུང་
སྲིད་དུ་མདེའི་,སྲིད་དུ་དེའི་
ད་སནྡྷི་,ད་སནྡྷི་
རི་བལླ་བྷ་,རི་བལླ་བྷ་
གསང་བའི་བྷ་,གསང་བའི་བྷ་
ནི་སིན་དྷུ་,ནི་སིན་དྷུ་
ནི་མཱ་ཀྵི་,ནི་མཱ་ཀྵི་
བྱུང་ཡང༌།,བྱུང་ཡང་།
ཡ་རཀྵནྟུ།,ཡ་རཀྵནྟུ།
ཀངྐ་ཪཱ།,ཀངྐ་རཱ།
་པར་རྫོགས,་པར་ས
དུ་སྦྱོར་པ་,དུ་སྦྱོར་བ་
སྃྃ་,སྃ་
ཀ་ཨཀྵ་,ཀ་ཨཀྵ་
དག་དང༌།,དག་དང་།
འདུས་ཤིང༌།,འདུས་ཤིང་།
།ཪིག་,།རིག་
རྙེད་(དགའ་,རྙེད་དགའ་
རེའུ་མེག་,རེའུ་མིག་
ཕ)་,པ་
དང་བཻཌཱུརྱ་,དང་བཻཌཱུརྱ་
ཡུལ་ཀོོ་,ཡུལ་ཀཽ་
པ་བཟི་,པ་བཞི་
ཊཀྐི་ཧཱུཾ་,ཊཀྐི་ཧཱུཾ་
ཨཥྚཱནྣི།,ཨཥྚཱནྪཾ།
ར་ཪ།,ར་ར།
གནས་ཤིང༌།,གནས་ཤིང་།
བྱེད་ཅིང༌མཐུན་,བྱེད་ཅིང་མཐུན་
བཛྲ་ཧཱུཾ་,བཛྲ་ཧཱུཾ་
ར་བེ་བྷྱཿཤེ་,ར་བེ་བྷྱཿཤེ་
སརྦྦ་བྷ་,སརྦྦ་བྷ་
ཅད་ཀྱང༌།,ཅད་ཀྱང་།
སྦྱིན་ད་དྷི་,སྦྱིན་ད་དྷི་
ཐམས་ཅད་གྱི་,ཐམས་ཅད་ཀྱི་
ཏྲཱུྃ་,ཏྲཱུྃ་
ལྡན་,སྦྱར་
མ་རཀྵི་,མ་རཀྵི་
སུ་སོོ་,སུ་སཽ་
)རབ་,རབ་
སྤྱད་པས་།,སྤྱད་པས།
ད་ཨཽཾ་དྷ་,ད་ཨཽཾ་དྷ་
ནས་རྐད་,ནས་རྐང་
འོད་འདིི་,འོད་འདི་
ཀད་ཌྷ།།,ཀད་ཌྷ།
རུ་ཎཱ་བུཎྜ་,རུ་ཎཱ་པུཎྜ་
ྱ་མ་དྷ་,ྱ་མ་དྷ་
ཏྨ་ཀོཉཧྃ།,ཏྨ་ཀོ྅་ཧྃ།
པའི་མཚནམ་,པའི་མཚན་
པཱ་པཀྵ་,པཱ་པཀྵ་
མི་ཤུད་དྷེ།,མི་ཤུད་དྷེ།
ཏི་ན་དྷ་,ཏི་ན་དྷ་
པ་ཀོོ་,པ་ཀཽ་
།(ཐག་,།ཐག་
ར་ཚིམ་བྷོ།,ར་ཚིམ་བྷོ།
འོད་བསྡུག་,འོད་བསྡུས་
ལ་ཧཱུཾ།,ལ་ཧཱུཾ།
བའོ་ཞེས་གྷའི་,བའོ་ཞེས་གྷའི་
པའམ་རྣམ་,པའམ་རྣལ་
་ད,ད
ཕྱོགས་འཚམས་རབ་འབྱམ་ཞིང་,ཕྱོགས་འཚམས་ཞིང་
པ་ན།་འདི་,པ་ན། འདི་
རྨྨ་སམ་བྷ་,རྨྨ་སམ་བྷ་
སརྦྦ་སྭ་བྷཱ་,སརྦྦ་སྭ་བྷཱ་
ཏ་ཡ་གྷུཊྚི་,ཏ་ཡ་གྷུཊྚི་
་རབ་ཏུ་ཞི་,ྨའི་
པས་ན་དྷ་,པས་ན་དྷ་
ཡི་ཀཱ་བྷ་,ཡི་ཀཱ་བྷ་
མ་དད་)ཀྱི་,མ་དད་ཀྱི་
བཅོམ,ཕཊ། མ
པའི་སྟོམས་,པའི་སྙོམས་
བོ་དང༌།,བོ་དང་།
་ཐར་,ར་
ཋ་ཌ་ཌྷ་,ཋ་ཌ་ཌྷ་
མ་ཿསརྦ་,མཿསརྦ་
གྲྀཧྞ་ཧཱུཾ་,གྲྀཧྞ་ཧཱུཾ་
ཧཱ་རཱུ་,ཧཱ་རཱུ་
དེ་ལྟརོ་,དེ་ལྟར་
ལ་སོང༌།,ལ་སོང་།
ཧིི་,ཧི་
ཝརྞྞ་པྲ་བྷཱ་,ཝརྞྞ་པྲ་བྷཱ་
བཞི་དང༌།,བཞི་དང་།
ཡིས་ཨརྒྷ་,ཡིས་ཨརྒྷ་
ཧཱུཾ་,ཧཱུཾ་
ཐོས་ཏེ་་ཤཱ་,ཐོས་ཏེ་ཤཱ་
་ཧྲཱིཿཧཱུཾ་,་ཧྲཱིཿཧཱུཾ་
དེས་ༀ་,དེས་ཨོཾ་
།་བདག་,།བདག་
བྱ་ཞིང༌སེམས་,བྱ་ཞིང་སེམས་
པ་ཉིད་ོལ་,པ་ཉིད་ལ་
མོཿསཾ་གྷཱ་,མོཿསཾ་གྷཱ་
བོོ་,བཽ་
ཆུང་དུ་,ཆུང་ངུ་
མ་བུད་དྷེ།,མ་བུད་དྷེ།
ྟར་,་
བགྱིད་ཅིང༌དགེ་,བགྱིད་ཅིང་དགེ་
ཀཱ་ལི་བྷ་,ཀཱ་ལི་བྷ་
དྲ་ཨ་དྷེ།,དྲ་ཨ་དྷེ།
ཨོཾ་བུད་དྷོ་,ཨོཾ་བུད་དྷོ་
ཛ་ལེནདྲ་,ཛ་ལེནྡྲ་
མི་བགྱ་ི,མི་བགྱི
ལ་ཤུད་དྷེ།,ལ་ཤུད་དྷེ།
་བཱིརྱ་དྷ་,་བཱིརྱ་དྷ་
སྒོམ་ཞིང༌།,སྒོམ་ཞིང་།
རླུང་ནི་ཪི་,རླུང་ནི་རི་
སུ,ཕུ
ནི་ཧཱུཾཿ།,ནི་ཧཱུཾཿ།
ཾ་ཧཱུཾ།,ཾ་ཧཱུཾ།
རིའི་བུ༌གཞན་,རིའི་བུ་གཞན་
ནི་ཁསམ,ནི་ཁམ
མཚུངས་བར་(སྤྲོ,མཚུངས་བར་སྤྲོ
ལ་པྲ་བྷེ།,ལ་པྲ་བྷེ།
བཀུར་ཅིང་་,བཀུར་ཅིང་
ཟེར་ཡང༌།,ཟེར་ཡང་།
།་ལེགས་,།ལེགས་
སྡོད་།,སྡོད།
ན་ཀ་ཱ,ན་ཀཱ
ཏུ་སྭ་བྷ་,ཏུ་སྭ་བྷཱ་
དམྱིགས་པའིི་,དམྱིགས་པའི་
རབ་གང༌།,རབ་གང་།
ཊཱ་ཀྵ།,ཊཱ་ཀྵ།
ཕ་རོལ་ད,ཕ་རོལད
བྱང་དང༌།,བྱང་དང་།
གསལ,ལ
ལ་གན་དྷའི་,ལ་གན་དྷའི་
་ཏྲཱིཾ་,་ཏྲཱིྃ་
པ་དང༌གྲུ་,པ་དང་གྲུ་
མེ་ཏོག་དྷཱ་,མེ་ཏོག་དྷཱ་
ཀྱིས་སྡིས་,ཀྱིས་སྡིག་
ར་པྲཱ་ཀྵེ།,ར་པྲཱ་ཀྵེ།
སློང་གང༌དགེ་,སློང་གང་དགེ་
ནི་སྭ་བྷཱ་,ནི་སྭ་བྷཱ་
སུ་དྷ་,སུ་དྷ་
པོ་པའི་༌རིགས་,པོ་པའི་རིགས་
ལྡན་འདས༌མངོན་,ལྡན་འདས་མངོན་
པིཿརིཿཌཿཡཿཨཿ།,བིཿརིཿཌཿཡཿཨཿ།
ལ་གཙོ་ཾབོར་,ལ་གཙོ་བོར་
ཅད་ཀྱང༌ཤེས་,ཅད་ཀྱང་ཤེས་
ན་ན་ང་,ན་ནང་
གཅིག་ཐབས་ཅད་དང་,གཅིག་ཐབས་དང་
སྟམ་བྷ་,སྟམ་བྷ་
སུདྡྷ་,སུདྡྷ་
སྒྲ་སྐད་འབ,བ
ཆུངས་དང༌།,ཆུངས་དང་།
ཡིན་དང༌།,ཡིན་དང་།
སྟོབས་ཆུང་དུ་,སྟོབས་ཆུང་ངུ་
ཤུ་བྷེ་,ཤུ་བྷེ་
མ་རྡྷ་,མ་རྡྷ་
རིའི་བུ༌རྣམ་,རིའི་བུ་རྣམ་
ཐེེ་,ཐཻ་
སྡེའུ་དང༌།,སྡེའུ་དང་།
ཐམས་ཅད་དྷ་,ཐམས་ཅད་དྷ་
སེར་དང༌།,སེར་དང་།
ཐམས་ཅད་གྱིསཀྱིས་,ཐམས་ཅད་ཀྱིས་
པཱ་ཤ་དྷ་,པཱ་ཤ་དྷ་
འདས་རྗོ་,འདས་རྡོ་
རྒྱུ་ཞིང༌ཁྱིམ་,རྒྱུ་ཞིང་ཁྱིམ་
བ་དང༌བདག་,བ་དང་བདག་
ལེ་ཧཱུཾ་,ལེ་ཧཱུཾ་
ཞི་བར་་གྱུར་,ཞི་བར་གྱུར་
ཨ་ཧཱོུཾ།,ཨ་ཧཱུྃ།
དང༌སོ་,དང་སོ་
