གསར་,གསེར་,2
མནོན་,གནོན,28
ཁྲིལ་,ཁྲེལ་,42
ཆས་,ཆོས་,56
ཤེག་,ཤོག་,25
ཡེད་,ཡོད་,76
ཚོགས་,ཚོགས་,87
བལྟར་,ལྟར་,5
མདའི་,མ་དེའི་,51
ར་,རེ་,2
འགྲེན,འགྲན,99
སྟང་,སྟོང་,19
བགྲད་,བགྲང་,42
དད་,ད་,102
མན་,མེན་,11
ངད་,ངེད་,11
དབེན་,དཔེར་,42
པུ,བུ,100
བཙས་,བ་ཙམ་,92
ཁོང་,ཁང་,11
ཕོ་,པོ་,43
བརྙིལ་,བསྙིལ་,65
མྱང་,མྱོང་,54
འོགས་,འགོག་,89
འམ་,སམ་,92
འགྲིན་,མགྲིན་,77
ཆང་,ཚང་,51
ཤ་,ཤོ་,89
སྒྲང་,སྒྲེང་,5
སྟོད་,བསྟོད་,33
གྱི་,ཀྱི་,36
གྱི་,ཀྱི་,54
ངའ་,ངའི་,96
སམས་,སེམས་,47
འགོ་,འོག་,89
མད་,མེད་,63
སྲིད་,སྲིང་,57
ཏེ་,དེ་,38
བླག་,གླགས་,98
བཤེགས་,བཤེས་,73
ཤས་,ཤེས་,1
འཛོམ་,འཇོམ་,85
ཚེན་,ཚན་,80
སྔགས་,སྦས་,91
གྱིས་,ཀྱིས་,14
ལང་ཙོ་,ལང་ཚོ་,42
གཅུག་,བཅུག་,73
བལྟར་,ལྟར་,13
ཀྱི་,གྱི་,36
མཙུན་,བཙུན་,76
གཏུམས་,བཏུམས་,89
ཕྱ་ན་,ཕྱེ་ན་,11
གྲག་,གྲགས་,46
གློང་,ཀློང་,38
མ་ཁོ་,མཁོ་,53
བརྙིལ་,བསྙིལ་,46
འང་,འོང་,51
སྟོད་,བསྟོད་,5
མཛེད་,མཇེད་,82
ན་,ནི་,95
གྱི་,ཀྱི་,35
གྱི་,ཀྱི་,44
ཁྱད་,ཁྱེད་,13
མད་,མེད་,44
མཆག་,མཆོག་,13
བྱད་,བྱེད་,89
གའི་,གཱའི་,48
དད་,ངད་,35
མནོན་,གནོན་,64
དགས་,དྭགས་,80
གྱི་,ཀྱི་,12
རྟན་,རྟེན་,25
ཤེག,ཤོག,25
དང་ཚུལ་,ངང་ཚུལ་,98
བའི་,ཕའི་,79
དུ་,སུ་,13
སྔུ་,སྡུ་,13
འབྲོས་,འཕྲོས་,40
ཟར་,ཟེར་,5
སྟགས་,སྟག་,81
དངས་,དཔས་,92
ཅལ་,ཅ་ལ་,43
ཤཱནྟི་,ཤཱནྟིཾ་,78
གློགས,སློགས,2
ཁྱད་,ཁྱོད་,13
བདེ་,བ་དེ་,25
མཇའ་,མཛའ་,101
སྟགས་,སྔགས་,80
ཅེས་,ཞེས་,34
ངུལ་,དུལ་,25
དས་,དེས་,5
ད་,དེ་,44
པྲཧྨཱ་ད་,པྲཧྨཱད་,80
མོ་,མ་,48
འཆད་,འཆང་,95
གིས་,གྱིས་,1
བལྟར་,ལྟར་,101
མདོ་,མདོ་,89
བསྐྱོད་,བསྐྱེད་,42
རྒྱས་,རྒྱལ་,55
མནོན་,གནོན་,81
གྱི་,ཀྱི་,11
རྐྱག་,སྐྱག་,74
བ་,པ་,38
པས་,པ་ས་,45
བཅོང་,བཙོང་,102
སམས་,སེམས་,13
དས་,དེས་,9
བསྐྱད་,བསྐྱེད་,41
ཆས་,ཆེས་,51
ག་,གོ་,51
རྐད་,རྐེད་,80
རྐོག་,ལྐོག་,97
འབྱམ་,འབྱམས་,41
རྨས་,སྨྲས་,5
དར་,དེར་,2
ལགས་,ལེགས་,2
